date,day_of_week,montemp_fth,,rain,snow,holiday,local_event,end_of_month,people
2010-10-23,Saturday,10,56.5,0,0,0,0,0,51
2010-10-24,Sunday,10,56.8,0,0,0,0,0,38
2010-10-25,Monday,10,52.9,1,0,0,0,0,50
2010-10-26,Tuesday,10,60.2,1,0,0,0,0,42
2010-10-27,Wednesday,10,68.7,1,0,0,0,1,47
2010-10-28,Thursday,10,57.2,1,0,0,0,1,46
2010-10-29,Friday,10,55.1,0,0,0,0,1,43
2010-10-30,Saturday,10,55.4,0,0,0,0,1,47
2010-10-31,Sunday,10,62.4,0,0,0,1,1,62
2010-11-01,Monday,11,48.1,0,0,0,0,0,33
2010-11-02,Tuesday,11,40.2,1,0,0,0,0,43
2010-11-03,Wednesday,11,50.5,1,0,0,0,0,46
2010-11-04,Thursday,11,41.6,1,0,0,0,0,37
2010-11-05,Friday,11,48.1,0,0,0,0,0,44
2010-11-06,Saturday,11,47.8,0,0,0,1,0,53
2010-11-07,Sunday,11,41.1,1,0,0,1,0,55
2010-11-08,Monday,11,44.3,1,0,0,0,0,39
2010-11-09,Tuesday,11,40.2,0,0,0,0,0,33
2010-11-10,Wednesday,11,36.4,0,0,0,0,0,37
2010-11-11,Thursday,11,54.4,1,0,0,0,0,33
2010-11-12,Friday,11,48.1,1,0,0,0,0,40
2010-11-13,Saturday,11,37.7,1,0,0,0,0,49
2010-11-14,Sunday,11,37.4,0,0,0,0,0,56
2010-11-15,Monday,11,32.5,0,0,0,0,0,42
2010-11-16,Tuesday,11,48.6,0,0,0,1,0,55
2010-11-17,Wednesday,11,58.7,0,0,0,0,0,46
2010-11-18,Thursday,11,31.6,0,0,0,0,0,44
2010-11-19,Friday,11,47.5,1,0,0,0,0,42
2010-11-20,Saturday,11,44.3,0,0,0,0,0,39
2010-11-21,Sunday,11,42.1,0,0,0,0,0,42
2010-11-22,Monday,11,42.3,0,0,0,0,0,33
2010-11-23,Tuesday,11,50.6,0,0,0,0,0,39
2010-11-24,Wednesday,11,41.5,0,0,0,0,0,35
2010-11-25,Thursday,11,28.1,1,0,1,0,0,59
2010-11-26,Friday,11,52.7,0,0,0,0,0,55
2010-11-27,Saturday,11,35.3,0,0,0,0,1,53
2010-11-28,Sunday,11,43.3,1,0,0,0,1,55
2010-11-29,Monday,11,37.4,1,0,0,0,1,51
2010-11-30,Tuesday,11,45.8,0,0,0,0,1,47
2010-12-01,Wednesday,12,34.6,0,1,0,0,0,58
2010-12-02,Thursday,12,29.4,0,0,0,1,0,52
2010-12-03,Friday,12,20.5,0,1,0,0,0,54
2010-12-04,Saturday,12,13.6,0,0,0,1,0,72
2010-12-05,Sunday,12,-1.0,0,1,0,0,0,61
2010-12-06,Monday,12,11.1,0,1,0,0,0,55
2010-12-07,Tuesday,12,20.6,0,0,0,0,0,53
2010-12-08,Wednesday,12,9.9,0,0,0,0,0,52
2010-12-09,Thursday,12,14.3,0,1,0,0,0,48
2010-12-10,Friday,12,14.0,0,0,0,0,0,50
2010-12-11,Saturday,12,20.5,1,1,0,0,0,65
2010-12-12,Sunday,12,29.1,0,0,0,0,0,54
2010-12-13,Monday,12,13.0,0,0,0,0,0,57
2010-12-14,Tuesday,12,7.9,0,0,0,0,0,49
2010-12-15,Wednesday,12,37.1,0,0,0,0,0,32
2010-12-16,Thursday,12,29.8,0,0,0,0,0,42
2010-12-17,Friday,12,31.3,1,1,0,0,0,47
2010-12-18,Saturday,12,19.6,0,0,0,0,0,57
2010-12-19,Sunday,12,25.3,0,0,0,0,0,54
2010-12-20,Monday,12,15.5,0,1,0,0,0,56
2010-12-21,Tuesday,12,20.6,0,1,0,0,0,53
2010-12-22,Wednesday,12,15.9,0,0,0,0,0,42
2010-12-23,Thursday,12,22.6,0,1,0,0,0,51
2010-12-24,Friday,12,16.5,0,1,0,0,0,64
2010-12-25,Saturday,12,29.0,1,0,1,0,0,60
2010-12-26,Sunday,12,28.2,0,0,0,0,0,60
2010-12-27,Monday,12,7.5,0,0,0,0,1,51
2010-12-28,Tuesday,12,26.3,0,1,0,0,1,62
2010-12-29,Wednesday,12,23.0,0,0,0,0,1,55
2010-12-30,Thursday,12,18.4,0,1,0,0,1,53
2010-12-31,Friday,12,30.9,0,1,0,0,1,52
2011-01-01,Saturday,1,8.0,0,1,1,0,0,74
2011-01-02,Sunday,1,8.3,0,1,0,0,0,63
2011-01-03,Monday,1,5.6,0,1,0,0,0,56
2011-01-04,Tuesday,1,16.3,0,0,0,0,0,52
2011-01-05,Wednesday,1,24.5,0,1,0,0,0,57
2011-01-06,Thursday,1,30.6,0,0,0,0,0,46
2011-01-07,Friday,1,2.5,0,0,0,0,0,45
2011-01-08,Saturday,1,26.4,1,0,0,0,0,52
2011-01-09,Sunday,1,8.7,0,0,0,0,0,65
2011-01-10,Monday,1,19.0,0,1,0,0,0,66
2011-01-11,Tuesday,1,17.3,0,1,0,0,0,51
2011-01-12,Wednesday,1,10.0,1,0,0,0,0,53
2011-01-13,Thursday,1,18.4,1,1,0,0,0,69
2011-01-14,Friday,1,4.3,1,0,0,0,0,48
2011-01-15,Saturday,1,2.8,0,0,0,0,0,52
2011-01-16,Sunday,1,43.0,1,1,0,0,0,52
2011-01-17,Monday,1,-8.8,1,0,0,0,0,46
2011-01-18,Tuesday,1,20.8,0,0,0,0,0,59
2011-01-19,Wednesday,1,34.3,1,1,0,0,0,55
2011-01-20,Thursday,1,36.4,0,0,0,0,0,43
2011-01-21,Friday,1,33.8,0,1,0,0,0,59
2011-01-22,Saturday,1,17.4,0,0,0,0,0,60
2011-01-23,Sunday,1,11.9,1,0,0,0,0,56
2011-01-24,Monday,1,16.5,1,0,0,1,0,63
2011-01-25,Tuesday,1,0.7,0,0,0,1,0,57
2011-01-26,Wednesday,1,14.9,1,1,0,0,0,47
2011-01-27,Thursday,1,16.4,0,0,0,0,1,47
2011-01-28,Friday,1,18.6,0,1,0,0,1,61
2011-01-29,Saturday,1,20.9,0,0,0,0,1,66
2011-01-30,Sunday,1,22.5,1,0,0,0,1,67
2011-01-31,Monday,1,20.1,0,1,0,0,1,59
2011-02-01,Tuesday,2,8.3,0,1,0,0,0,59
2011-02-02,Wednesday,2,23.8,0,0,0,0,0,46
2011-02-03,Thursday,2,3.1,0,1,0,0,0,50
2011-02-04,Friday,2,7.2,0,1,0,0,0,55
2011-02-05,Saturday,2,14.3,0,0,0,0,0,53
2011-02-06,Sunday,2,19.2,1,1,0,0,0,64
2011-02-07,Monday,2,18.5,0,0,0,0,0,49
2011-02-08,Tuesday,2,2.8,0,1,0,0,0,61
2011-02-09,Wednesday,2,8.9,0,1,0,0,0,52
2011-02-10,Thursday,2,14.3,1,1,0,0,0,62
2011-02-11,Friday,2,14.5,0,0,0,0,0,52
2011-02-12,Saturday,2,14.8,0,1,0,0,0,63
2011-02-13,Sunday,2,9.3,0,0,0,0,0,57
2011-02-14,Monday,2,-5.3,1,0,0,1,0,60
2011-02-15,Tuesday,2,2.4,0,1,0,1,0,58
2011-02-16,Wednesday,2,4.3,0,0,0,0,0,60
2011-02-17,Thursday,2,29.3,1,0,0,0,0,57
2011-02-18,Friday,2,-2.7,1,1,0,0,0,67
2011-02-19,Saturday,2,21.2,0,1,0,0,0,64
2011-02-20,Sunday,2,17.6,0,1,0,0,0,65
2011-02-21,Monday,2,16.2,1,0,0,0,0,53
2011-02-22,Tuesday,2,16.5,0,1,0,0,0,56
2011-02-23,Wednesday,2,22.4,0,1,0,0,0,55
2011-02-24,Thursday,2,24.0,0,0,0,0,0,41
2011-02-25,Friday,2,24.4,1,0,0,0,0,54
2011-02-26,Saturday,2,47.3,1,0,0,0,0,53
2011-02-27,Sunday,2,11.2,0,1,0,0,1,68
2011-02-28,Monday,2,8.8,1,1,0,0,1,53
2011-03-01,Tuesday,3,25.8,0,0,0,0,0,54
2011-03-02,Wednesday,3,37.3,0,0,0,0,0,35
2011-03-03,Thursday,3,34.0,1,0,0,0,0,47
2011-03-04,Friday,3,46.5,0,0,0,0,0,39
2011-03-05,Saturday,3,32.1,0,0,0,0,0,50
2011-03-06,Sunday,3,46.7,0,0,0,0,0,41
2011-03-07,Monday,3,32.6,0,0,0,0,0,43
2011-03-08,Tuesday,3,34.9,0,0,0,0,0,52
2011-03-09,Wednesday,3,44.8,0,0,0,0,0,34
2011-03-10,Thursday,3,50.9,0,0,0,0,0,45
2011-03-11,Friday,3,54.3,0,0,0,0,0,37
2011-03-12,Saturday,3,32.7,0,0,0,0,0,59
2011-03-13,Sunday,3,37.2,1,0,0,0,0,33
2011-03-14,Monday,3,50.7,1,0,0,0,0,39
2011-03-15,Tuesday,3,44.4,0,0,0,0,0,46
2011-03-16,Wednesday,3,48.6,0,0,0,0,0,44
2011-03-17,Thursday,3,49.0,0,0,0,0,0,36
2011-03-18,Friday,3,40.7,0,0,0,0,0,35
2011-03-19,Saturday,3,38.3,0,0,0,0,0,54
2011-03-20,Sunday,3,38.8,1,0,0,0,0,46
2011-03-21,Monday,3,44.0,0,0,0,0,0,43
2011-03-22,Tuesday,3,42.7,0,0,0,1,0,43
2011-03-23,Wednesday,3,43.3,0,0,0,0,0,35
2011-03-24,Thursday,3,60.7,0,0,0,0,0,50
2011-03-25,Friday,3,29.7,0,0,0,0,0,46
2011-03-26,Saturday,3,32.1,1,0,0,0,0,58
2011-03-27,Sunday,3,31.8,0,0,0,0,1,55
2011-03-28,Monday,3,23.5,0,0,0,0,1,46
2011-03-29,Tuesday,3,30.8,0,0,0,0,1,47
2011-03-30,Wednesday,3,36.9,1,0,0,0,1,46
2011-03-31,Thursday,3,42.5,0,0,0,0,1,43
2011-04-01,Friday,4,48.3,0,0,0,0,0,36
2011-04-02,Saturday,4,52.2,0,0,0,0,0,43
2011-04-03,Sunday,4,40.2,1,0,0,0,0,46
2011-04-04,Monday,4,40.6,0,0,0,0,0,33
2011-04-05,Tuesday,4,33.6,1,0,0,0,0,49
2011-04-06,Wednesday,4,32.5,1,0,0,0,0,50
2011-04-07,Thursday,4,33.0,0,0,0,0,0,46
2011-04-08,Friday,4,33.9,0,0,0,0,0,45
